Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
1,1.6479,0.3797,1.5402,0.4252
2,1.4452,0.4540,1.4048,0.4697
3,1.3672,0.4831,1.3408,0.4936
4,1.3046,0.5086,1.2845,0.5172
5,1.2529,0.5296,1.2398,0.5342
6,1.2085,0.5480,1.2110,0.5452
7,1.1701,0.5635,1.1993,0.5532
8,1.1342,0.5770,1.1600,0.5691
9,1.1041,0.5891,1.1357,0.5771
10,1.0755,0.6000,1.1086,0.5919
11,1.0505,0.6120,1.0823,0.6010
12,1.0285,0.6201,1.0780,0.6021
13,1.0078,0.6277,1.0487,0.6133
14,0.9894,0.6355,1.0462,0.6159
15,0.9723,0.6431,1.0429,0.6160
16,0.9565,0.6496,1.0387,0.6219
17,0.9421,0.6546,1.0198,0.6267
18,0.9306,0.6587,1.0182,0.6304
19,0.9184,0.6631,1.0118,0.6323
20,0.9056,0.6687,1.0066,0.6377
21,0.8960,0.6721,0.9968,0.6414
22,0.8876,0.6764,0.9889,0.6421
23,0.8782,0.6787,0.9921,0.6426
24,0.8684,0.6831,0.9867,0.6431
25,0.8606,0.6863,0.9857,0.6455
26,0.8527,0.6890,0.9965,0.6426
27,0.8463,0.6920,0.9841,0.6485
28,0.8402,0.6930,0.9634,0.6534
29,0.8332,0.6969,0.9686,0.6519
30,0.8280,0.6994,0.9704,0.6531
31,0.8226,0.7009,0.9681,0.6549
32,0.8169,0.7028,0.9620,0.6554
33,0.8121,0.7048,0.9567,0.6594
34,0.8067,0.7057,0.9749,0.6551
35,0.8001,0.7087,0.9548,0.6596
36,0.7966,0.7103,0.9591,0.6608
37,0.7926,0.7122,0.9561,0.6599
38,0.7886,0.7135,0.9644,0.6589
39,0.7833,0.7170,0.9498,0.6645
40,0.7797,0.7170,0.9644,0.6612
41,0.7774,0.7179,0.9529,0.6634
42,0.7739,0.7196,0.9578,0.6648
43,0.7697,0.7211,0.9448,0.6661
44,0.7664,0.7217,0.9445,0.6681
45,0.7641,0.7231,0.9487,0.6668
46,0.7593,0.7247,0.9528,0.6683
47,0.7567,0.7253,0.9504,0.6692
48,0.7547,0.7263,0.9631,0.6641
49,0.7515,0.7280,0.9465,0.6677
